order_id,order_date,customer_name,product_name,quantity,unit_price,subtotal,order_status,customer_city,payment_status
S00101,2026-03-05 08:30:00,Nairobi Greens Cafe,Sunflower Microgreens 100g,10,350,3500,sale,Westlands,invoiced
S00101,2026-03-05 08:30:00,Nairobi Greens Cafe,Pea Shoot Microgreens 100g,5,380,1900,sale,Westlands,invoiced
S00102,2026-03-06 10:15:00,The Organic Pantry,Radish Microgreens 100g,8,300,2400,sale,Karen,invoiced
S00102,2026-03-06 10:15:00,The Organic Pantry,Sunflower Microgreens 100g,12,350,4200,sale,Karen,invoiced
S00103,2026-03-07 09:00:00,Java House Lavington,Wheatgrass Shots 50ml,20,150,3000,sale,Lavington,invoiced
S00103,2026-03-07 09:00:00,Java House Lavington,Broccoli Microgreens 100g,6,420,2520,sale,Lavington,invoiced
S00104,2026-03-09 11:30:00,Artisan Kitchen,Sunflower Microgreens 100g,15,350,5250,sale,Kilimani,invoiced
S00104,2026-03-09 11:30:00,Artisan Kitchen,Pea Shoot Microgreens 100g,8,380,3040,sale,Kilimani,invoiced
S00105,2026-03-10 14:00:00,Green Spoon Restaurant,Radish Microgreens 100g,10,300,3000,sale,Gigiri,invoiced
S00105,2026-03-10 14:00:00,Green Spoon Restaurant,Broccoli Microgreens 100g,5,420,2100,sale,Gigiri,invoiced
S00106,2026-03-12 08:00:00,Nairobi Greens Cafe,Sunflower Microgreens 100g,12,350,4200,sale,Westlands,invoiced
S00106,2026-03-12 08:00:00,Nairobi Greens Cafe,Wheatgrass Shots 50ml,15,150,2250,sale,Westlands,invoiced
S00107,2026-03-13 09:30:00,Tribe Hotel,Sunflower Microgreens 100g,20,380,7600,sale,Limuru Rd,invoiced
S00107,2026-03-13 09:30:00,Tribe Hotel,Pea Shoot Microgreens 100g,15,400,6000,sale,Limuru Rd,invoiced
S00107,2026-03-13 09:30:00,Tribe Hotel,Radish Microgreens 100g,10,320,3200,sale,Limuru Rd,invoiced
S00108,2026-03-15 10:00:00,The Organic Pantry,Broccoli Microgreens 100g,10,420,4200,sale,Karen,invoiced
S00108,2026-03-15 10:00:00,The Organic Pantry,Wheatgrass Shots 50ml,8,150,1200,sale,Karen,invoiced
S00109,2026-03-16 11:00:00,Mama Oliech Restaurant,Sunflower Microgreens 100g,6,350,2100,sale,Hurlingham,invoiced
S00109,2026-03-16 11:00:00,Mama Oliech Restaurant,Radish Microgreens 100g,4,300,1200,sale,Hurlingham,invoiced
S00110,2026-03-18 08:30:00,Java House Lavington,Sunflower Microgreens 100g,18,350,6300,sale,Lavington,invoiced
S00110,2026-03-18 08:30:00,Java House Lavington,Pea Shoot Microgreens 100g,10,380,3800,sale,Lavington,invoiced
